EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0200.065.765,6,2008,84130,MAIN
0200.065.765,1,2008,41101,MAIN
0200.065.765,1,2003,70111,MAIN
0200.068.636,6,2008,36000,MAIN
0200.068.636,1,2008,36000,MAIN
0200.068.636,1,2008,93110,SECO
0200.068.636,1,2008,93126,SECO
0200.068.636,1,2008,93299,SECO
0200.068.636,1,2003,41000,MAIN
0200.305.493,6,2008,84130,MAIN
0200.305.493,1,2008,94999,MAIN
0200.305.493,1,2008,41102,SECO
0200.305.493,1,2008,41203,SECO
0200.305.493,1,2008,71122,SECO
0200.305.493,1,2008,82990,SECO
0200.305.493,1,2003,45211,MAIN
0200.305.493,1,2003,45213,SECO
0200.305.493,1,2003,70111,SECO
0200.305.493,1,2003,90021,SECO
0200.362.210,6,2008,37000,MAIN
0200.362.210,1,2008,37000,MAIN
0200.362.210,1,2003,90010,MAIN
0200.362.408,6,2008,88911,MAIN
0200.762.878,6,2008,88101,MAIN
0200.762.878,1,2008,88995,MAIN
0200.762.878,1,2003,85322,MAIN
0200.881.951,6,2008,84120,MAIN
0200.881.951,1,2008,84119,MAIN
0200.881.951,1,2008,37000,SECO
0200.881.951,1,2008,41101,SECO
0200.881.951,1,2003,75116,MAIN
0200.881.951,1,2003,70111,SECO
0200.881.951,1,2003,90010,SECO
