EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff
0200.065.765,REGO,,,9070,Destelbergen,Destelbergen,Panhuisstraat,Panhuisstraat,1,,,
0200.068.636,REGO,,,9000,Gent,Gent,Stropstraat,Stropstraat,1,,,
0200.171.970,REGO,,,9000,Gent,Gent,Brabantdam,Brabantdam,101,,,
0200.245.711,REGO,,,9500,Geraardsbergen,Geraardsbergen,Hoge Buizemont,Hoge Buizemont,247,,,
0200.305.493,REGO,,,9520,Sint-Lievens-Houtem,Sint-Lievens-Houtem,Gentsesteenweg,Gentsesteenweg,1B,,,
0200.362.210,REGO,,,1400,Nivelles,Nivelles,Rue de la Religion,Rue de la Religion,10,,,
0200.362.408,REGO,,,1332,Rixensart,Rixensart,Rue du Cerf,Rue du Cerf,200,,,
0200.420.410,REGO,,,3290,Diest,Diest,Michel Theysstraat,Michel Theysstraat,18,,,
0200.420.608,REGO,,,8970,Poperinge,Poperinge,Ieperstraat,Ieperstraat,134,,,
0200.448.421,REGO,,,8500,Kortrijk,Kortrijk,Budastraat(Kor),Budastraat(Kor),37,,,
0200.450.005,REGO,,,8000,Brugge,Brugge,Woensdagmarkt,Woensdagmarkt,6,,,
0200.762.878,REGO,,,2850,Boom,Boom,Colonel Silvertopstraat,Colonel Silvertopstraat,15,,,
0200.881.951,REGO,,,1731,Asse,Asse,Brusselsesteenweg,Brusselsesteenweg,617,,,
0200.882.050,REGO,,,1000,Brussel,Bruxelles,Eikstraat,Rue du Chêne,16,,,
0201.105.843,REGO,,,7000,Mons,Mons,Rue de Nimy,Rue de Nimy,53,,,
0201.107.526,REGO,,,7000,Mons,Mons,Grand-Place,Grand-Place,22,,Hôtel de Ville,
0201.107.922,REGO,,,7340,Colfontaine,Colfontaine,Place de Pâturages,Place de Pâturages,41,,,
0201.183.146,REGO,,,7860,Lessines,Lessines,*Hôtel de Ville,*Hôtel de Ville,,,,
0201.310.731,REGO,,,3900,Pelt,Pelt,Oude Markt,Oude Markt,2,,,
0201.310.929,REGO,,,3600,Genk,Genk,Klotstraat,Klotstraat,125,,,
0201.311.028,REGO,,,3640,Kinrooi,Kinrooi,Maasdijk (Oph),Maasdijk (Oph),1,3,,
0201.311.226,REGO,,,3500,Hasselt,Hasselt,Trichterheideweg,Trichterheideweg,8,,,
0201.339.039,REGO,,,3500,Hasselt,Hasselt,Thonissenlaan,Thonissenlaan,15,,,
0201.400.011,REGO,,,5000,Namur,Namur,Avenue Sergent Vrithoff,Avenue Sergent Vrithoff,2,,,
0201.400.110,REGO,,,5361,Hamois,Hamois,"Rue des Scyoux, Scy","Rue des Scyoux, Scy",20,,,
0201.400.209,REGO,,,5000,Namur,Namur,Avenue Sergent Vrithoff,Avenue Sergent Vrithoff,2,,,
0201.456.924,REGO,,,4577,Modave,Modave,Rue Surroyseux,Rue Surroyseux,51A,,,
0201.543.234,REGO,,,6010,Charleroi,Charleroi,Rue du Déversoir,Rue du Déversoir,1,,,
0201.543.828,REGO,,,7100,La Louvière,La Louvière,*Hôtel de Ville,*Hôtel de Ville,,,,
0201.552.538,REGO,,,6000,Charleroi,Charleroi,Boulevard Joseph II,Boulevard Joseph II,13,,,
0201.568.473,REGO,,,6000,Charleroi,Charleroi,place Vauban,place Vauban,SN,,Hôtel de ville,
0201.645.281,REGO,,,6000,Charleroi,Charleroi,Boulevard Pierre Mayence,Boulevard Pierre Mayence,1,1,,
0201.712.587,REGO,,,6470,Sivry-Rance,Sivry-Rance,Rue du Commerce,Rue du Commerce,4,,,
0201.717.438,REGO,,,6530,Thuin,Thuin,Rue 't Serstevens(THN),Rue 't Serstevens(THN),28,,,
0201.741.786,REGO,,,6000,Charleroi,Charleroi,Boulevard Pierre Mayence,Boulevard Pierre Mayence,1,1,,
0201.760.592,REGO,,,7110,La Louvière,La Louvière,Chaussée,Chaussée,65,,,
0201.808.401,REGO,,,7330,Saint-Ghislain,Saint-Ghislain,11e Rue(SG),11e Rue(SG),3+,,,
0201.978.150,REGO,,,1210,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,Madouplein,Place Madou,1,,,
0202.082.078,REGO,,,1800,Vilvoorde,Vilvoorde,Grote Markt,Grote Markt,Z/N,,STADHUIS,
0202.239.951,REGO,,,1030,Schaarbeek,Schaerbeek,Koning AlbertII laan,Boulevard du Roi AlbertII,27,,,
0202.268.754,REGO,,,4800,Verviers,Verviers,Chaussée de Heusy,Chaussée de Heusy,1/5,,,
0202.320.224,REGO,,,4780,Sankt Vith,Sankt Vith,,,,,,
0202.329.033,REGO,,,4720,Kelmis,Kelmis,Rue de l'Eglise,Rue de l'Eglise,31,,,
0202.395.052,REGO,,,4031,Liège,Liège,Rue Canal-de-l'Ourthe,Rue Canal-de-l'Ourthe,8,,,
0202.414.452,REGO,,,4000,Liège,Liège,Quai de Maestricht,Quai de Maestricht,14,,,
0202.470.177,REGO,,,4850,Plombières,Plombières,Rue du Village,Rue du Village,77,,,
0202.492.151,REGO,,,7320,Bernissart,Bernissart,Rue du Fraity(BER),Rue du Fraity(BER),76,,,
0202.500.267,REGO,,,7500,Tournai,Tournai,Rue Saint-Jacques(TOU),Rue Saint-Jacques(TOU),11,,,
0202.500.465,REGO,,,7500,Tournai,Tournai,Rue de l'Enclos St. Martin(TOU),Rue de l'Enclos St. Martin(TOU),52H,,,
0202.508.878,REGO,,,7500,Tournai,Tournai,Rue du Viaduc(TOU),Rue du Viaduc(TOU),52,,,
0202.554.113,REGO,,,5070,Fosses-la-Ville,Fosses-la-Ville,Rue Sainte-Brigide,Rue Sainte-Brigide,43,,,
0202.554.608,REGO,,,5640,Mettet,Mettet,Rue Estroit,Rue Estroit,39,,,
0202.555.004,REGO,,,5300,Andenne,Andenne,Rue des Marais,Rue des Marais,11,,,
0202.718.122,REGO,,,1200,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,Paul Hymanslaan,Avenue Paul Hymans,2,,,
0202.962.701,REGO,,,1000,Brussel,Bruxelles,Keizerinlaan,Boulevard de l'Impératrice,17-19,,,
0203.071.973,REGO,,,1000,Brussel,Bruxelles,Maalbeeklaan,Avenue du Maelbeek,3,,,
0203.201.340,REGO,,,1000,Brussel,Bruxelles,de Berlaimontlaan,Boulevard de Berlaimont,14,,,
0203.211.040,REGO,,,1000,Brussel,Bruxelles,Kunstlaan,Avenue des Arts,56,4c,,
0203.286.759,REGO,,,1000,Brussel,Bruxelles,Montoyerstraat,Rue Montoyer,3,,,
0203.375.049,REGO,,,1000,Brussel,Bruxelles,Wetstraat,Rue de la Loi,15,101,,
0203.375.148,REGO,,,1060,Sint-Gillis (bij-Brussel),Saint-Gilles,Maurice Van Meenenplein,Place Maurice Van Meenen,39,,,
0203.389.204,REGO,,,1180,Ukkel,Uccle,Stillelaan,Avenue du Silence,61,,,
0203.430.576,REGO,,,1060,Sint-Gillis (bij-Brussel),Saint-Gilles,Frankrijkstraat,Rue de France,56,,,
0203.563.111,REGO,,,3210,Lubbeek,Lubbeek,Diestsesteenweg(LIN),Diestsesteenweg(LIN),126,,,
0203.683.766,REGO,,,2630,Aartselaar,Aartselaar,Kontichsesteenweg,Kontichsesteenweg,17,,,
0203.884.397,REGO,,,4020,Liège,Liège,Rue Général-de-Gaulle,Rue Général-de-Gaulle,71,,,
0203.949.131,REGO,,,4420,Saint-Nicolas,Saint-Nicolas,Rue de la Digue,Rue de la Digue,25,,,
0203.963.680,REGO,,,4420,Saint-Nicolas,Saint-Nicolas,Rue de la Digue,Rue de la Digue,25,,,
0203.978.726,REGO,,,4000,Liège,Liège,Rue Sainte-Marie,Rue Sainte-Marie,5,,,
0203.980.409,REGO,,,4100,Seraing,Seraing,Rue Laplace,Rue Laplace,40,,,
0203.989.614,REGO,,,4550,Nandrin,Nandrin,Route du Condroz,Route du Condroz,319,,,
0204.212.714,REGO,,,2440,Geel,Geel,Antwerpseweg,Antwerpseweg,1,,,
0204.245.277,REGO,,,4000,Liège,Liège,Boulevard Piercot,Boulevard Piercot,46,,,
0204.259.135,REGO,,,4000,Liège,Liège,Rue du Vertbois,Rue du Vertbois,11,,Atrium Vertbois,
0204.259.927,REGO,,,4000,Liège,Liège,Place Notger,Place Notger,2,,,
0204.359.994,REGO,,,6700,Arlon,Arlon,"Schoppach,drève de l'Arc-en-Ciel","Schoppach,drève de l'Arc-en-Ciel",98,,,
0204.360.093,REGO,,,6690,Vielsalm,Vielsalm,,,,,,
0204.360.489,REGO,,,6762,Virton,Virton,"Rue d'Harnoncourt,St-Mard","Rue d'Harnoncourt,St-Mard",48,,,
0204.395.925,REGO,,,4340,Awans,Awans,*Maison Communale,*Maison Communale,,,,07-01-2016
0204.396.024,REGO,,,4340,Awans,Awans,Rue des Ecoles,Rue des Ecoles,2-4,,,07-01-2016
0204.396.222,REGO,,,4400,Flémalle,Flémalle,,,,,,
0204.419.976,REGO,,,4460,Grâce-Hollogne,Grâce-Hollogne,Place Communale,Place Communale,-,,,
0204.421.461,REGO,,,4040,Herstal,Herstal,Place Emile Vandervelde,Place Emile Vandervelde,-,,,
0204.518.263,REGO,,,2000,Antwerpen,Antwerpen,Huidevettersstraat,Huidevettersstraat,38,,,
0204.775.908,REGO,,,2018,Antwerpen,Antwerpen,Grotehondstraat,Grotehondstraat,58,,,
0204.908.936,REGO,,,2280,Grobbendonk,Grobbendonk,Vierselse baan,Vierselse baan,5,,,
0204.923.881,REGO,,,2018,Antwerpen,Antwerpen,Mechelsesteenweg,Mechelsesteenweg,66,,,
0205.097.392,REGO,,,8380,Brugge,Brugge,Isabellalaan,Isabellalaan,1,,,
0205.157.176,REGO,,,8820,Torhout,Torhout,Noordlaan,Noordlaan,9,,,
0205.157.869,REGO,,,8310,Brugge,Brugge,Baron Ruzettelaan,Baron Ruzettelaan,35,,,
0205.264.668,REGO,,,8670,Koksijde,Koksijde,Doornpannestraat(Odk),Doornpannestraat(Odk),1,,,
0205.350.681,REGO,,,8500,Kortrijk,Kortrijk,President Kennedypark(Kor),President Kennedypark(Kor),10,,,
0205.620.501,REGO,,,4560,Clavier,Clavier,Rue de la Source,Rue de la Source,10,,,
0205.764.318,REGO,,,1070,Anderlecht,Anderlecht,Sylvain Dupuislaan,Boulevard Sylvain Dupuis,251,,,
0205.774.810,REGO,,,3000,Leuven,Leuven,Brouwersstraat,Brouwersstraat,6,,,
0205.797.475,REGO,,,6700,Arlon,Arlon,"Schoppach,drève de l'Arc-en-Ciel","Schoppach,drève de l'Arc-en-Ciel",98,,,
0205.970.788,REGO,,,1800,Vilvoorde,Vilvoorde,Medialaan,Medialaan,28,b,,
0206.041.757,REGO,,,1348,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Avenue Jean Monnet,Avenue Jean Monnet,2,,,
0206.048.091,REGO,,,1000,Brussel,Bruxelles,de Meeûssquare,Square de Meeûs,35,,,
0206.157.761,REGO,,,1490,Court-Saint-Etienne,Court-Saint-Etienne,Rue des Ecoles,Rue des Ecoles,32,,,
0206.414.218,REGO,,,6460,Chimay,Chimay,Grand'Place(CH),Grand'Place(CH),SN,,,
0206.460.639,REGO,,,9100,Sint-Niklaas,Sint-Niklaas,Lamstraat,Lamstraat,113,,,
0206.491.422,REGO,,,1490,Court-Saint-Etienne,Court-Saint-Etienne,Rue des Ecoles,Rue des Ecoles,1,,,
0206.491.917,REGO,,,1435,Mont-Saint-Guibert,Mont-Saint-Guibert,Grand'Rue,Grand'Rue,39,,,
0206.492.511,REGO,,,1300,Wavre,Wavre,Rue de l'Ermitage,Rue de l'Ermitage,2,,,
0206.492.610,REGO,,,1360,Perwez,Perwez,Rue de Brabant,Rue de Brabant,2,,,
0206.492.907,REGO,,,1000,Brussel,Bruxelles,Munt,Place de la Monnaie,5,,,
0206.524.777,REGO,,,6760,Virton,Virton,Rue Charles-Magnette,Rue Charles-Magnette,17,,,
0206.524.876,REGO,,,6700,Arlon,Arlon,Rue Paul-Reuter,Rue Paul-Reuter,8,,,
0206.524.975,REGO,,,6600,Bastogne,Bastogne,Rue du Vivier,Rue du Vivier,58,,,
0206.538.536,REGO,,,2440,Geel,Geel,Winkelom,Winkelom,30,,,
0206.543.781,REGO,,,6840,Neufchâteau,Neufchâteau,"Grand-Place,NEU","Grand-Place,NEU",1,,,
0206.544.474,REGO,,,6990,Hotton,Hotton,Rue des Ecoles,Rue des Ecoles,50,,,
0206.544.672,REGO,,,5575,Gedinne,Gedinne,Rue Albert-Marchal,Rue Albert-Marchal,2,,,
0206.544.969,REGO,,,6830,Bouillon,Bouillon,Place Ducale,Place Ducale,1,,,
0206.545.266,REGO,,,999,,,,,,,,
0206.545.464,REGO,,,999,,,,,,,,
0206.545.662,REGO,,,6980,La Roche-en-Ardenne,La Roche-en-Ardenne,,,,,,
0206.559.025,REGO,,,3500,Hasselt,Hasselt,Paardsdemerstraat,Paardsdemerstraat,-,,,
0206.561.993,REGO,,,1820,Steenokkerzeel,Steenokkerzeel,Orchideeënlaan,Orchideeënlaan,17,,,
0206.562.092,REGO,,,1560,Hoeilaart,Hoeilaart,Jan van Ruusbroecpark,Jan van Ruusbroecpark,-,,,
0206.564.666,REGO,,,6870,Saint-Hubert,Saint-Hubert,Place du Marché,Place du Marché,1,,,
0206.564.963,REGO,,,6890,Libin,Libin,Rue du Commerce,Rue du Commerce,14,,,
0206.565.656,REGO,,,6929,Daverdisse,Daverdisse,"Grand-Place, Haut-Fays","Grand-Place, Haut-Fays",SN,,,
0206.565.755,REGO,,,6920,Wellin,Wellin,Grand-Place,Grand-Place,1,,,
0206.565.953,REGO,,,6887,Herbeumont,Herbeumont,Rue Lauvaux,Rue Lauvaux,27,,,
0206.566.052,REGO,,,6850,Paliseul,Paliseul,Grand-Place,Grand-Place,1,,,
0206.567.042,REGO,,,6880,Bertrix,Bertrix,Rue de la Gare,Rue de la Gare,38,,,
0206.567.339,REGO,,,6860,Léglise,Léglise,"Rue du Chaudfour,Léglise","Rue du Chaudfour,Léglise",2,,,
0206.578.722,REGO,,,6980,La Roche-en-Ardenne,La Roche-en-Ardenne,Place du Marché,Place du Marché,1,,,
0206.578.821,REGO,,,6970,Tenneville,Tenneville,Route de Bastogne,Route de Bastogne,1,,,
0206.582.284,REGO,,,1070,Anderlecht,Anderlecht,Raadsplein,Place du Conseil,1,,,
0206.593.667,REGO,,,6870,Saint-Hubert,Saint-Hubert,Rue de Marche,Rue de Marche,1,,,
0206.607.129,REGO,,,4000,Liège,Liège,Rue Fond-des-Tawes,Rue Fond-des-Tawes,45,,,
0206.618.215,REGO,,,4700,Eupen,Eupen,Am Stadthaus,Am Stadthaus,1,,,
0206.621.183,REGO,,,4830,Limbourg,Limbourg,Avenue Victor David,Avenue Victor David,15,,,
0206.621.282,REGO,,,4860,Pepinster,Pepinster,Prévôchamps,Prévôchamps,44,,,
