EntityNumber,Language,TypeOfDenomination,Denomination
0200.065.765,2,1,Intergemeentelijke Vereniging Veneco
0200.065.765,2,2,Veneco
0200.068.636,2,1,Farys
0200.171.970,0,1,Sanatorium-Hospitaal van Lemberge
0200.245.711,2,1,Intercommunaal Sanatorium Denderoord
0200.245.711,2,2,DENDEROORD
0200.305.493,2,1,Intergemeentelijk Samenwerkingsverband voor ruimtelijke ordening en socio-economische expansie
0200.305.493,2,2,SOLVA
0200.362.210,1,1,in BW Association Intercommunale
0200.362.210,1,2,in B.W.
0200.362.408,1,1,Intercommunale Sociale du Brabant wallon
0200.362.408,1,2,I.S.B.W.
0200.420.410,0,1,Congregatie der Gasthuiszusters-Augustinessen van Diest
0200.420.608,2,1,Congregatie der Gasthuiszusters van Poperinge
0200.448.421,2,1,Liefdadige Congregatie der Gasthuiszusters
0200.450.005,2,1,"Liefdadige Congregatie der Zwarte Zusters van Brugge, Oostende en Menen (VL - Brugge)"
0200.762.878,2,1,VLOTTER
0200.881.951,2,1,Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economisch- Sociale Expansie van het Arrondissement Halle-Vilvoorde
0200.881.951,2,2,HAVILAND
0200.882.050,0,1,Intercommunale maatschappij voor de Sanering van het Dal der Molenbeek en Pontbeek
0200.882.050,0,2,VALLEE MOLENBEEK PONTBEEK DAL
0201.105.843,1,1,"""I.D.E.A. S.C"""
0201.105.843,1,2,I.D.E.A.
0201.107.526,1,1,Association Intercommunale du Bois d'Havré
0201.107.526,1,2,BOIS D'HAVRE
0201.107.922,1,1,INTERCOMMUNALE DU RESEAU SOCIAL D'INSERTION ET D'ACCUEIL
0201.107.922,1,2,IRSIA
0201.183.146,0,1,Société Intercommunale de l'Electricité de la Dendre et du Canton de Lens
0201.183.146,0,2,I.D.E.L.
0201.310.731,2,1,NOORDLIMBURGSE MAATSCHAPPIJ VOOR DE OPRICHTING VAN EEN INDUSTRIEPARK IN NOORD-LIMBURG
0201.310.731,2,2,NOLIMPARK
0201.310.929,2,1,IGL
0201.310.929,2,2,IGL
0201.311.028,2,1,Intercommunale Maatschappij voor Ruimtelijke Ontwikkeling in Limburg
0201.311.028,2,2,I.M.L.
0201.311.226,2,1,FLUVIUS
0201.339.039,0,1,Provinciale Limburgse Intercommunale Gasmaatschappij
0201.339.039,0,2,Pli Gas
0201.400.011,1,1,SOCIETE INTERCOMMUNALE BEP - EXPANSION ECONOMIQUE
0201.400.110,1,1,Association Intercommunale des Eaux du Condroz
0201.400.110,1,2,A.I.E.C.
0201.400.209,1,1,Société intercommunale BEP-Environnement
0201.456.924,0,1,Intercommunale de distribution d'Eau de Tihange et environs
0201.456.924,0,2,TIHANGE
0201.543.234,1,1,TIBI
0201.543.828,1,1,Société Intercommunale Mixte d'Electricité de l'Est et du Centre du Hainaut
0201.543.828,1,2,INTERHAINAUT
0201.552.538,0,1,Oeuvres Sociales Intercommunale
0201.568.473,0,1,Union intercommunale pour l'Exécution des Travaux de Voutement et d'Amélioration des Ruisseaux de Lodelinsart
0201.645.281,1,1,CENEO
0201.645.281,1,2,I.P.F.H.
0201.712.587,1,1,Association Intercommunale d'Electricité du Sud du Hainaut
0201.712.587,1,2,A.I.E.S.H.
0201.717.438,1,1,Intercommunale pour le Développement Economique et l'Aménagement du Territoire du Sud-Hainaut
0201.717.438,1,2,INTERSUD
0201.741.786,1,1,Intercommunale pour la Gestion et la Réalisation d'Etudes Techniques et Economiques
0201.741.786,1,2,I.G.R.E.T.E.C.
0201.760.592,0,1,Compagnie Intercommunale Distribution d'Eau du Centre
0201.808.401,1,1,Intercommunale de Santé HARMEGNIES - ROLLAND
0201.808.401,1,2,CENTRE DE SANTE HARMEGNIES
0201.978.150,0,1,Société Intercommunale des Voies d'Accès à l'Aérodrome de Bruxelles - Intercommunale Maatschappij van de Toegangswegen tot de Luchthaven van Brussel
0201.978.150,0,2,S.I.V.A.
0202.082.078,2,1,Intercommunale van Brabant voor Electriciteit en Gas
0202.082.078,0,2,I.B.E.G
0202.239.951,1,1,PROXIMUS
0202.239.951,2,1,PROXIMUS
0202.268.754,1,1,CREDIT SOCIAL LOGEMENT
0202.268.754,1,2,C.S.L.
0202.320.224,1,1,Intercommunale laitière du Canton de Saint-Vith
0202.329.033,0,1,Association Intercommunale des Eaux de La Calamine
0202.395.052,1,1,Compagnie Intercommunale Liégeoise des Eaux
0202.395.052,1,2,C.I.L.E.
0202.414.452,0,1,Port Autonome de Liège
0202.470.177,1,1,INAGO
0202.492.151,0,1,Association Intercommunale d'Electricité de l'Ouest du Hainaut
0202.492.151,0,2,INTELOUEST
0202.500.267,1,1,Intercommunale de Développement Economique et d'Aménagement du Territoire du Hainaut Occidental
0202.500.267,1,2,SIDEHO
0202.500.465,0,1,Association Intercommunale pour la Distribution de l'Eau Potable pour Tournai et Extensions
0202.500.465,0,2,I.C. EAUX TOURNAI
0202.508.878,1,1,Intercommunale d'Oeuvres médico-sociales des Arrondissements de Tournai - Ath - Mouscron et Cantons limitrophes
0202.508.878,1,2,I.M.S.T.A.M.
0202.554.113,1,1,ASSOCIATION INTERCOMMUNALE DE SANTE DE LA BASSE-SAMBRE
0202.554.113,1,2,A.I.S.B.S.
0202.554.608,1,1,Association Intercommunale des Eaux de la Molignée
0202.554.608,1,2,MOLIGNEE
0202.555.004,1,1,Association Intercommunale d'Etudes et d'Exploitation d'Electricité et de Gaz
0202.555.004,1,2,A.I.E.G.
0202.718.122,0,1,Intercommunale Mij Voor Het Verwijd. en Verniet. Van Huisvuil
0202.718.122,0,2,I.O.B.
0202.962.701,1,1,VIVAQUA
0202.962.701,2,1,VIVAQUA
0203.071.973,1,1,BRULABO
0203.071.973,2,1,BRULABO
0203.201.340,1,1,Banque Nationale  de Belgique
0203.201.340,2,1,Nationale Bank van België
0203.201.340,3,1,Belgische Nationalbank
0203.211.040,1,1,Holding Communal - Gemeentelijke Holding - Gemeindliche Holding
0203.211.040,2,1,HOLDING COMMUNAL - GEMEENTELIJKE HOLDING - GEMEINDLICHE HOLDING
0203.286.759,1,1,Ducroire
0203.286.759,2,1,Delcredere
0203.375.049,0,1,Société Intercommunale de Propreté Publique
0203.375.049,0,2,S.I.P.P.
0203.375.148,0,1,Intercommunale pour le Traitement des Immondices du Sud-Ouest de l'Agglomération Bruxelloise
0203.375.148,0,2,Intrimso
0203.389.204,1,1,Société Coopérative Intercommunale de Crémation
0203.389.204,1,2,Cremabu
0203.389.204,2,1,Société Coopérative Intercommunale de Crémation
0203.389.204,2,2,Cremabu
0203.389.204,2,3,Intercommunale coöperative vennootschap voor Crematie
0203.389.204,0,2,SOC.INT.CREMATION - S.C.I.C.
0203.430.576,1,1,SOCIÉTÉ NATIONALE DES CHEMINS DE FER BELGES
0203.430.576,1,2,SNCB
0203.430.576,2,1,NATIONALE MAATSCHAPPIJ DER BELGISCHE SPOORWEGEN
0203.430.576,2,2,NMBS
0203.563.111,1,1,Provinciale Brabanconne d'Energie
0203.563.111,2,1,Provinciale Brabantse Energiemaatschappij
0203.563.111,2,2,P.B.E.
0203.683.766,0,1,Tijdelijke Vereniging Norabel
0203.683.766,0,2,Tijdelijke Vereniging
0203.884.397,0,1,Compagnie Intercommunale des Eaux de Source d'Evegnée et Extensions
0203.884.397,0,2,EVEGNEE
0203.949.131,0,1,Intercommunale pour l'Etude et la Construction d'Egouts dans la Région Liègeoise
0203.963.680,1,1,ASSOCIATION INTERCOMMUNALE POUR LE DEMERGEMENT ET L'EPURATION DES COMMUNES DE LA PROVINCE DE LIEGE
0203.963.680,1,2,AIDE
0203.978.726,1,1,ECETIA FINANCES
0203.978.726,1,2,ST-NICOLAS ENVIRONS
0203.980.409,1,1,CENTRE HOSPITALIER BOIS DE L'ABBAYE
0203.980.409,1,2,C.H.B.A.
0203.989.614,1,1,Intercommunale de Distribution d'Eau de Nandrin - Tinlot et Environs
0204.212.714,2,1,Interkommunale Ontwikkelingsmaatschappij voor de Kempen
0204.212.714,2,2,I.O.K.
0204.245.277,1,1,ENODIA
0204.245.277,1,2,TECTEO
0204.259.135,1,1,SPI
0204.259.927,0,1,Intercommunale pour l'Autoroute E5 - Intercommunale vereniging voor de Autosnelweg E5
0204.259.927,0,2,E5
0204.359.994,1,1,IDELUX Eau
0204.360.093,0,1,Association intercommunale d'aide aux handicapés de la région
0204.360.489,0,1,Intercommunale des Oeuvres Médico-Sociales de Lorraine
0204.360.489,0,2,I.O.M.S. LORRAINE
0204.395.925,0,1,Intercommunale des Eaux du Plateau d'Awans
0204.395.925,0,2,AWANS
0204.396.024,0,1,Intercommunale de Distribution d'Eau d'Awans et Environs
0204.396.024,0,2,AWANS-BIERSET I.D.E.A.
0204.396.222,0,1,Intercommunale de l' Abattoir des Awirs
0204.419.976,0,1,Distribution intercommunale des Eaux de Hollogne-aux-Pierres et Jemeppe-sur-Meuse
0204.419.976,0,2,HOLLOGNE JEMEPPE
0204.421.461,0,1,Intercommunale d'Oeuvres Sociales et Médico-Sociales
0204.518.263,0,1,Conférence Brésil Plata
0204.775.908,0,1,Maatschappij voor het Intercommunaal Vervoer te Antwerpen
0204.908.936,2,1,Pidpa
0204.923.881,2,1,Water-link
0205.097.392,2,1,Maatschappij van de Brugse Zeehaven
0205.097.392,2,2,MBZ
0205.157.176,2,1,Fluvius West
0205.157.869,2,1,West-Vlaamse Intercommunale
0205.157.869,2,2,WVI
0205.264.668,2,1,Intercommunale Waterleidingsmaatschappij van Veurne Ambacht
0205.264.668,2,2,I.W.V.A.
0205.350.681,2,1,INTERCOMMUNALE LEIEDAL
0205.350.681,2,3,405350627
0205.620.501,1,1,S.C. COMPAGNIE INTERCOMMUNALE DES EAUX DE LA SOURCE DE LES AVINS GROUPE DE CLAVIER
0205.620.501,1,2,CIESAC
0205.764.318,1,1,CRELAN
0205.764.318,2,1,CRELAN
0205.774.810,2,1,Intercommunale Maatschappij voor de Ruimtelijke Ordening en de Economische Sociale Expansie van het Arrondissement Leuven
0205.774.810,2,2,INTERLEUVEN
0205.797.475,1,1,Association Intercommunale pour le développement économique durable de la Province de Luxembourg
0205.797.475,1,2,IDELUX Développement
