EstablishmentNumber,StartDate,EnterpriseNumber
2.000.000.339,01-11-1974,0403.449.823
2.000.000.438,01-09-1964,0403.590.274
2.000.001.032,17-01-1967,0403.174.758
2.000.002.022,01-04-1963,0401.729.854
2.000.003.606,01-07-1964,0403.813.275
2.000.004.002,05-03-1997,0405.619.950
2.000.005.485,01-08-1964,0401.071.145
2.000.005.980,01-09-1964,0592.023.167
2.000.008.059,01-08-1964,0401.483.889
2.000.009.544,01-04-1986,0590.283.107
2.000.010.039,01-08-1964,0402.044.115
2.000.010.138,01-06-1964,0554.055.288
2.000.011.326,01-10-1964,0404.875.327
2.000.015.086,01-09-1964,0569.117.212
2.000.016.967,01-08-1964,0529.306.630
2.000.017.660,01-02-1967,0404.999.249
2.000.018.848,01-10-1964,0716.399.438
2.000.020.828,01-01-1965,0585.541.686
2.000.021.125,01-04-1946,0402.475.467
2.000.021.422,01-03-1967,0403.992.429
2.000.021.818,01-09-1964,0510.280.277
2.000.023.796,01-09-1964,0598.070.821
2.000.025.281,01-07-1964,0602.413.451
2.000.025.677,01-01-1967,0402.514.069
2.000.025.776,01-01-1967,0402.514.069
2.000.025.875,01-07-1968,0402.514.069
2.000.027.162,01-09-1964,0517.775.409
2.000.027.459,01-01-1967,0663.335.092
2.000.028.152,01-08-1964,0405.468.809
2.000.028.647,01-08-1964,0400.595.251
2.000.031.221,01-02-1967,0404.385.575
2.000.031.617,01-06-1955,0403.366.679
2.000.034.981,01-03-1966,0402.448.248
2.000.035.377,01-04-1960,0404.161.782
2.000.035.575,01-02-1967,0602.172.238
2.000.035.674,01-12-1966,0601.560.841
2.000.035.872,01-01-1967,0402.344.320
2.000.038.644,11-09-1961,0414.321.048
2.000.039.040,01-08-1964,0404.369.640
2.000.040.030,01-10-1964,0522.891.267
2.000.040.228,01-11-1964,0530.539.421
2.000.041.812,23-12-1988,0400.187.950
2.000.042.604,01-09-1964,0403.808.327
2.000.043.097,01-06-1983,0688.150.860
2.000.043.889,01-10-1964,0608.174.360
2.000.044.087,01-09-1966,0405.737.934
2.000.044.186,01-11-1964,0607.330.658
2.000.045.770,01-09-1964,0403.361.434
2.000.045.869,01-08-1964,0405.368.839
2.000.046.265,01-08-1964,0400.956.725
2.000.046.364,01-09-1964,0403.563.748
2.000.046.661,01-09-1964,0403.578.002
2.000.046.859,01-10-1964,0401.889.212
2.000.047.453,01-10-1964,0405.961.133
2.000.048.146,01-03-1984,0425.351.037
2.000.049.730,01-10-1964,0581.355.147
2.000.051.215,01-11-1964,0405.286.883
2.000.052.896,01-07-1958,0406.452.764
2.000.054.084,01-10-1964,0402.385.296
2.000.054.876,31-03-1992,0528.087.794
2.000.055.965,01-09-1964,0400.090.059
2.000.056.262,01-08-1964,0401.026.902
2.000.057.648,01-10-1964,0401.184.080
2.000.057.846,01-02-1967,0624.306.054
2.000.057.945,20-12-1996,0624.306.054
2.000.058.539,01-10-1964,0401.120.833
2.000.059.232,01-10-1964,0401.678.186
2.000.060.024,10-09-2001,0401.028.682
2.000.060.420,01-11-1964,0533.201.971
2.000.061.707,26-03-1980,0400.503.201
2.000.062.301,01-10-1964,0575.095.974
2.000.062.497,01-07-1964,0400.945.540
2.000.062.893,01-10-1964,0400.952.171
2.000.062.992,01-10-1964,0400.953.161
2.000.063.685,01-10-1975,0402.801.507
2.000.064.279,01-09-1964,0710.033.763
2.000.064.576,01-02-1967,0402.302.253
2.000.064.873,01-11-1964,0574.320.865
2.000.064.972,01-01-1961,0405.567.391
2.000.065.170,15-03-2002,0402.462.995
2.000.066.061,01-09-1964,0400.485.086
2.000.066.556,01-01-1967,0401.923.854
2.000.067.744,01-11-1964,0594.688.192
2.000.067.843,09-11-1992,0594.688.192
2.000.067.942,25-04-1989,0594.688.192
2.000.068.140,13-03-1990,0573.815.772
2.000.069.625,01-07-1964,0403.879.987
2.000.069.823,01-12-1962,0403.482.584
2.000.071.209,01-10-1964,0569.604.784
2.000.071.407,01-02-1967,0401.024.427
2.000.071.704,01-11-1964,0705.001.245
2.000.072.197,01-10-1964,0401.684.918
2.000.072.296,01-03-1964,0401.650.274
2.000.072.395,01-02-1966,0401.650.274
2.000.073.286,09-06-1998,0403.768.141
2.000.073.880,01-02-1967,0401.007.106
2.000.074.177,01-11-1964,0614.188.360
2.000.074.276,01-12-1966,0614.188.360
2.000.076.256,01-11-1964,0581.128.681
2.000.076.355,01-07-1967,0581.128.681
2.000.077.444,01-02-1967,0571.440.460
2.000.080.909,01-11-1964,0403.061.328
2.000.083.679,01-11-1966,0401.304.242
2.000.084.372,01-10-1964,0405.440.303
2.000.085.362,07-01-1964,0400.935.642
2.000.085.560,01-11-1964,0554.380.635
2.000.085.659,11-02-1983,0554.380.635
2.000.086.055,01-11-1964,0402.369.658
2.000.086.154,01-11-1964,0522.357.371
2.000.086.946,01-09-1964,0403.607.003
2.000.087.342,01-05-1964,0702.175.377
2.000.087.441,08-07-1964,0403.626.205
2.000.090.312,01-10-1964,0593.464.410
2.000.090.510,01-10-1964,0405.138.712
2.000.090.609,01-10-1964,0405.120.203
2.000.090.708,01-04-1967,0531.269.097
2.000.092.092,01-01-1967,0404.151.884
2.000.092.191,01-10-1964,0403.749.929
2.000.092.587,01-01-1954,0404.199.394
2.000.092.785,01-04-1964,0402.027.881
2.000.093.379,01-12-1964,0403.194.752
2.000.093.478,01-08-1964,0402.104.491
2.000.093.775,01-02-1967,0402.586.226
2.000.094.468,01-10-1964,0404.629.362
2.000.094.567,01-10-1964,0404.031.229
2.000.094.666,01-10-1964,0404.985.193
2.000.094.765,01-02-1967,0400.516.067
2.000.096.448,01-01-1965,0401.316.813
2.000.097.141,01-10-1964,0401.955.132
2.000.099.517,29-01-1996,0400.581.195
2.000.102.188,02-01-1983,0666.096.723
2.000.103.970,01-12-1964,0404.368.155
2.000.105.356,01-11-1964,0404.366.571
2.000.109.910,01-11-1964,0400.271.290
2.000.110.405,01-10-1964,0400.326.819
2.000.111.492,01-09-1964,0400.930.989
2.000.121.984,01-01-1966,0592.174.805
2.000.122.578,01-11-1964,0401.436.280
2.000.122.875,01-01-1967,0405.030.131
2.000.123.568,01-11-1964,0401.274.647
2.000.123.766,01-11-1964,0405.866.905
2.000.123.865,01-12-1964,0539.292.779
